Clave_de_AGEE,formato,anio_mes,Menores_que_viajan
3,autoridad judicial,2023-05,0
1,sam,2023-06,10067
2,notarial,2023-06,274
3,autoridad judicial,2023-06,2
1,sam,2023-07,12230
2,notarial,2023-07,738
3,autoridad judicial,2023-07,0
1,sam,2023-08,4813
2,notarial,2023-08,279
3,autoridad judicial,2023-08,0
1,sam,2023-09,2145
2,notarial,2023-09,111
3,autoridad judicial,2023-09,0
1,sam,2023-10,2720
2,notarial,2023-10,81
3,autoridad judicial,2023-10,0
1,sam,2023-11,3631
2,notarial,2023-11,83
3,autoridad judicial,2023-11,1
1,sam,2023-12,5153
2,notarial,2023-12,254
3,autoridad judicial,2023-12,2
1,sam,2024-01,4149
2,notarial,2024-01,111
3,autoridad judicial,2024-01,0
1,sam,2024-02,3541
2,notarial,2024-02,176
3,autoridad judicial,2024-02,7
1,sam,2024-03,5098
2,notarial,2024-03,132
3,autoridad judicial,2024-03,0
1,sam,2024-04,5122
2,notarial,2024-04,163
3,autoridad judicial,2024-04,8
1,sam,2024-05,5188
2,notarial,2024-05,186
3,autoridad judicial,2024-05,0
1,sam,2024-06,11381
2,notarial,2024-06,557
3,autoridad judicial,2024-06,5
1,sam,2024-07,11009
2,notarial,2024-07,453
3,autoridad judicial,2024-07,0
1,sam,2024-08,4757
2,notarial,2024-08,241
3,autoridad judicial,2024-08,0
1,sam,2024-09,2579
2,notarial,2024-09,102
3,autoridad judicial,2024-09,0
1,sam,2024-10,2814
2,notarial,2024-10,71
3,autoridad judicial,2024-10,0
1,sam,2024-11,3789
2,notarial,2024-11,130
3,autoridad judicial,2024-11,0
1,sam,2024-12,5845
2,notarial,2024-12,217
3,autoridad judicial,2024-12,0
1,sam,2025-01,4360
2,notarial,2025-01,88
3,autoridad judicial,2025-01,3
1,sam,2025-02,3241
2,notarial,2025-02,136
3,autoridad judicial,2025-02,0
1,sam,2025-03,4338
2,notarial,2025-03,90
3,autoridad judicial,2025-03,1
